est_internacao;id;menor01a;01a;02a;03a;04a;05a;06a;07a;08a;09a;10a;11a;12a;13a;14a;15a;16a;17a;18a;19a;20a;21a;22a;23a;24a;25a;26a;27a;28a;29a;30a;31a;32a;33a;34a;35a;36a;37a;38a;39a;40a;41a;42a;43a;44a;45a;46a;47a;48a;49a;50a;51a;52a;53a;54a;55a;56a;57a;58a;59a;60a;61a;62a;63a;64a;65a;66a;67a;68a;69a;70a;71a;72a;73a;74a;75a;76a;77a;78a;79a;80a;81a;82a;83a;84a;85a;86a;87a;88a;89a;90a;91a;92a;93a;94a;95a;96a;97a;98a;99a;100a;101a;102a;103a;104a;105a
9149511 HOSPITAL NEUROCENTER;h123;;;2;;;;;1;2;;;;;;;;;;;2;;;;1;;;2;;1;;2;;1;1;3;4;1;2;4;4;1;4;3;7;1;8;4;3;3;5;8;6;6;3;9;9;3;2;6;9;2;5;;4;1;5;6;5;1;2;1;2;4;1;2;1;3;1;2;1;3;1;4;2;3;1;;;;;;1;;;;;;;;;;;;;;
2079887 HOSPITAL CRUZEIRO DO SUL;h124;2;;3;2;;2;;;;1;;1;;1;;;;;;1;;;;1;;;1;;;;;2;2;1;;3;;3;1;2;4;4;2;3;2;;3;6;2;4;4;6;7;4;3;6;6;6;8;3;6;6;1;3;6;2;3;1;6;4;5;;2;2;2;;2;3;1;2;2;5;;1;2;1;1;2;2;1;;3;2;2;;1;1;1;;;;;;;;
2752107 UPA SANTO AMARO DR JOSE SYLVIO DE CAMARGO;h125;2;1;;1;3;;;;;;;;;;;1;;;;;;1;1;;;;;1;1;3;4;1;2;1;1;;2;3;4;1;2;3;2;4;2;3;3;1;2;4;3;4;6;3;3;4;3;4;2;6;3;5;5;5;2;6;1;6;4;1;4;3;3;2;2;4;3;6;4;4;2;3;3;2;1;2;1;3;3;2;1;1;;;;;1;;;;;;;;;
2680785 HOSP MAT ALVORADA STO AMARO;h126;10;5;1;3;3;4;;;1;1;1;;1;;1;;;1;1;1;1;;2;;;1;1;2;2;3;;2;1;1;4;2;4;1;2;3;5;2;2;2;3;5;7;2;1;2;6;4;6;5;2;1;3;3;5;1;1;1;4;2;3;;1;5;4;1;2;;1;1;3;3;1;3;1;6;1;1;;2;2;2;1;1;2;1;2;1;;;2;;;;;;;;;;;
3027600 HOSPITAL SAO CAMILO IPIRANGA;h127;;;;;;;;;;;;;;;;;1;;;1;;2;;1;;1;3;;;3;5;1;1;3;2;4;;4;2;1;2;1;2;2;2;1;2;5;1;3;2;1;3;2;4;5;4;2;;1;2;6;2;1;3;3;3;3;2;2;5;8;1;4;3;2;2;2;3;8;3;5;5;4;2;4;4;2;3;5;5;3;;1;;1;;;;;;;;;;
9971513 UPA ERMELINO MATARAZZO;h128;1;1;2;;1;;;;;;1;;;1;;1;;;1;;1;1;;;1;;2;2;1;1;1;;2;4;2;;2;3;4;1;;3;5;2;1;;1;3;1;3;;6;5;;3;5;4;3;5;1;7;4;3;6;8;2;2;4;8;6;5;4;4;3;3;2;3;2;2;2;2;1;2;3;5;3;;1;1;1;2;1;1;;;;;;;;;1;;;;
2078406 HOSP INDEPENDENCIA;h129;4;1;1;3;1;;1;1;2;1;;1;;;;;2;1;;;2;3;3;8;2;2;6;3;;1;2;5;1;7;9;1;8;8;4;5;7;6;9;6;1;3;;4;;4;;1;4;2;2;1;2;;2;2;1;1;1;5;;1;2;1;;;1;;1;1;2;;3;1;;1;2;1;;;;1;;;1;;1;;1;;1;;;;;;;;;;;
9194258 HOSPITAL SAO LUIZ SAO CAETANO;h130;3;1;1;1;;;;;;;;;;;;;1;;;;;;;;1;;;4;1;3;2;5;7;8;1;2;6;5;6;2;8;1;4;4;3;2;3;2;6;8;4;6;2;7;1;2;4;3;3;1;3;4;2;3;3;2;1;1;2;2;1;3;1;1;1;2;1;2;1;1;1;;;;;;;;1;;;;;;;;;;;;;;;;;
3166597 HOSPITAL ADVENTISTA DE SAO PAULO;h131;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;2;1;1;;;;1;;;2;1;1;1;1;2;;2;1;1;3;1;7;4;4;6;2;4;3;5;5;9;3;5;9;6;6;5;6;1;8;5;8;9;3;7;6;4;3;3;3;;;;;2;;;;;;
2080494 HOSPITAL DA CRUZ VERMELHA BRASILEIRA DO ESTADO DE SAO;h132;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;3;;2;;1;2;1;;2;;2;3;1;5;2;3;4;2;1;4;;2;1;2;1;3;1;3;7;3;6;3;2;4;5;5;5;3;6;4;4;3;3;1;3;5;2;3;2;4;4;6;2;1;1;1;3;;1;;2;1;1;;2;;1;1;1;;;;;;;;
2084090 HOSPITAL BARTIRA;h133;;;;1;;;;;1;;;;;;;1;;;;;;;1;2;;2;;;7;1;5;2;4;2;6;2;5;5;8;4;3;4;4;3;2;3;4;5;6;2;4;5;3;2;3;2;1;4;2;1;;2;5;1;;;;1;;1;1;1;;;2;1;2;;1;1;1;1;1;2;1;;;1;2;;;;;;;;;;1;;;;;;;
2081628 HOSPITAL CARLOS CHAGAS;h134;6;6;5;2;4;2;1;;1;3;;1;1;1;;;;;1;;;;;2;2;2;;2;1;2;2;1;1;1;2;3;3;1;4;3;1;2;4;1;2;4;2;1;4;3;1;;2;4;2;;3;1;;;2;;2;;;3;1;1;1;4;1;5;;3;1;;2;;;1;3;3;1;3;1;;3;2;2;1;;1;;1;;;;;;;;;;;;
9620494 HOSPITAL SANTA ANA;h135;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;1;;;;1;3;;1;;;1;1;2;1;1;;1;1;1;2;2;2;1;2;4;1;2;2;1;5;5;4;4;7;;4;6;5;4;4;6;4;3;6;5;2;3;;4;2;4;2;3;6;2;4;1;1;2;;2;1;2;;1;;;1;;;;;;
2088517 HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO;h136;62;19;14;4;7;6;8;5;5;7;3;4;1;2;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2088576 HOSP DE TRANSPLANT DO EST DE SP EURYCLIDES DE JESUS ZERBINI;h137;;;;;;;;;;;;;;;;;;;;;1;1;1;2;1;1;2;3;1;1;;1;1;;2;;2;;2;1;1;1;1;1;2;2;3;;3;1;;1;1;5;2;3;1;4;5;2;5;2;3;7;1;5;5;3;4;4;3;5;3;1;3;5;2;4;;1;3;1;;1;3;1;3;;1;;1;1;1;;;;;;;;;;;;;
3019012 HOSP DE CLINICAS J HELENA;h138;1;1;1;;1;;;1;;;1;;1;;;;1;;;1;;2;2;2;1;;5;2;1;2;2;2;3;2;3;3;1;3;;1;;2;1;4;;2;2;2;5;;1;2;4;7;3;4;2;2;;1;1;5;;;4;3;;1;1;2;4;2;5;3;1;1;1;1;5;2;1;1;3;1;;;;;;;;;1;;;;;;;;;;;;;
2079607 HOSPITAL E MATERNIDADE DR CHRISTOVAO DA GAMA;h139;3;;4;2;1;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;1;;2;;;2;1;;;;1;1;;2;2;;1;;;2;3;4;3;3;1;1;1;1;6;2;1;3;3;2;3;4;5;4;4;7;4;4;3;2;5;2;11;1;2;;;;1;;;1;;;;;;
6430120 BP MIRANTE;h140;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;1;;;;1;1;;1;1;1;2;1;3;2;1;;4;2;2;3;2;4;2;1;2;2;5;2;;2;3;;2;3;3;4;1;1;2;2;2;2;2;3;7;4;3;1;1;5;;1;5;;3;1;1;2;1;;;3;1;1;;;;;2;;;;;;;;;
2080125 INST DO CANCER ARNALDO VIEIRA DE CARVALHO;h141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;;;1;;1;;2;;;2;3;1;;2;2;;4;1;2;2;5;7;6;6;1;6;4;4;9;4;4;4;6;2;2;2;1;3;4;2;1;2;2;1;3;1;;1;;1;;;1;;1;;;1;;;;;;;;;;
2798220 HOSPITAL PREVINA;h142;;;;;1;;;;;;;;;;1;;;;;;;1;;1;;2;;1;;1;2;1;1;1;1;1;1;1;1;1;1;3;2;;3;1;;2;;3;5;1;4;6;2;2;2;1;3;4;4;3;5;1;2;2;3;2;4;;2;2;1;2;1;1;2;3;2;2;;2;3;2;;1;;;1;;1;;1;1;;;;;;;;;;;;
7174705 HOSPITAL SANCTA MAGGIORE ITAIM;h143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;2;1;;1;2;2;2;4;2;2;2;3;5;2;2;5;4;5;3;6;4;4;9;4;3;3;4;4;4;5;3;1;4;1;;2;3;3;;1;1;;;;;;;;;
3027805 HSANP HOSPITAL;h144;2;2;1;1;1;;1;;;;1;;;1;;;;;;;;;;1;;;2;;;;2;;;;;1;;5;4;2;1;;1;2;1;2;;5;5;3;;;;1;1;3;3;2;6;3;3;;;;3;1;1;2;1;2;;3;1;;2;3;;4;2;1;2;3;1;3;3;;3;1;1;1;2;;;2;1;;;;;;;;;;;
9255826 HOSPITAL E MATERNIDADE GUARULHOS;h145;2;;2;1;;;1;;;1;;;;;;;;;;;1;;;;;;;;1;2;;;2;1;4;;3;1;2;3;3;4;7;4;4;3;1;4;1;6;5;2;2;;3;3;2;2;;;1;3;4;1;4;1;2;2;2;;;4;;3;1;;;;;;;;1;;3;1;;;;;;;;;;;;;;;;;;;;
2801051 PRONTO SOCORRO CENTRAL DE DIADEMA;h146;1;5;1;;1;1;1;;;1;1;;;;1;;;1;;;2;;2;1;1;;;1;2;1;;;1;;3;;;2;2;1;4;1;;5;1;2;4;;2;1;;4;;4;;2;4;1;2;2;2;;2;2;3;3;6;1;2;1;1;4;1;1;2;1;3;2;1;1;1;;;;;1;;;1;;;;1;;;1;;;;;;;;;;
2075717 HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI;h147;19;;;;;;;;;;;;;;;;;1;2;3;1;;1;1;1;;3;;1;;3;;1;;;3;;2;3;1;;3;1;;1;1;1;3;1;5;5;1;;1;1;2;;1;2;2;1;4;1;2;1;;;1;2;1;1;;2;1;2;;1;2;1;1;1;;1;;2;1;;2;;4;;1;;1;;;;;;;;;;;;
2079186 HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA;h148;8;;;;;;;;;;;;;;;2;3;3;1;4;5;7;5;2;7;4;6;7;7;3;3;4;3;1;2;3;5;1;2;1;2;1;;1;;1;;;;;;;1;;;;;;;1;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0008052 HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO;h149;;;;;1;;;1;;;;;;;;;1;;;;;;1;;2;2;;;1;1;1;;;2;1;;1;1;5;;;;3;1;1;1;;;1;2;4;;2;1;3;5;4;2;2;2;5;2;3;4;1;1;1;3;2;6;;2;3;2;1;2;1;1;2;;1;;1;1;1;;;;1;;1;;;;;;;;;;;;;;;
7644167 HOSPITAL MORIAH;h150;;;;;;;;;;;;;;;;;;;;;1;1;1;;1;1;1;1;;3;;3;3;1;5;2;3;3;;1;3;3;9;3;4;;5;;3;;3;3;;1;2;4;2;2;3;2;1;3;;1;1;;;2;;1;2;1;1;;2;1;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;
7060165 HOSPITAL A C CAMARGO TAMANDARE;h151;1;1;1;;1;;;;;;1;;;2;;;;;;3;;2;;;;2;;;;;1;;1;;;1;;;1;;;1;1;2;1;;1;2;3;1;1;2;1;3;2;1;1;3;1;3;5;5;4;;;5;2;2;1;2;5;;4;1;1;1;1;3;3;2;2;;;1;;1;;;;;;;;;1;;;;;;;;;;;
2076926 HOSPITAL UNIVERSITARIO DA USP SAO PAULO;h152;5;3;;1;2;1;;;;;;;;1;1;;1;1;;;;1;1;1;;1;;;;;;;;3;;;;2;1;;1;;;;;;;2;;1;;2;2;;1;3;3;4;1;3;1;3;2;1;1;;1;;1;1;;1;2;2;2;2;3;1;1;;;1;1;2;1;3;1;2;2;1;1;2;;;;;;;;;;;;;;
2082837 PS MUN PROF JOAO CATARIN MEZOMO;h153;1;;;;;;;;;;;;;;;1;;1;;2;;;2;;2;;;;;1;;3;1;;1;1;1;;;2;2;1;2;2;2;3;;3;1;1;2;1;;;1;;1;2;1;1;1;2;1;1;3;;1;;;3;3;;1;1;1;;1;1;1;1;1;3;1;1;4;3;1;2;;1;;1;;3;;1;1;;;;;;;;;
2789590 HOSPITAL E MATERNIDADE BRASIL;h154;1;1;;3;1;;1;1;;;;2;;;;;1;;;;;;;;;;1;1;;;;;1;1;;4;2;3;;;;1;;4;2;;1;4;3;1;1;3;1;1;;;1;3;3;2;3;1;;;1;;2;2;1;1;;2;1;;;;;2;2;;3;1;1;1;;2;1;;;1;;;1;;1;;;;;;;;;;;
5935857 HOSPITAL MUNICIPAL DE EMERGENCIAS ALBERT SABIN;h155;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;1;;;2;;;1;1;1;1;2;1;;1;;;1;;1;1;1;1;;;;3;4;1;2;;2;4;1;2;3;1;4;1;2;;5;4;;2;;3;1;2;;2;1;5;1;1;1;1;3;2;;;1;;1;;;;;;;;;;;;
2084163 HOSPITAL ESTADUAL DE DIADEMA HOSPITAL SERRARIA;h156;9;2;1;2;;1;2;;2;;;;;;1;1;;1;;1;;;;;;1;;;;;1;1;1;1;1;1;2;3;2;1;;;1;1;2;;1;;2;;;1;;3;1;1;1;2;;2;;4;2;2;1;1;;;;;;;2;1;1;;1;;;2;;1;;2;;1;;;1;;;;;;;;1;;;;;;;;;
6614426 HOSPITAL INFANTIL SABARA;h157;22;14;14;6;6;1;3;2;1;2;2;;1;1;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2077590 IBCC;h158;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;;2;;;1;;1;;;1;;;1;2;2;1;;1;1;1;1;;1;1;;1;4;1;1;3;1;;2;5;1;3;6;;3;1;2;3;5;2;2;1;;;1;1;;2;1;1;1;;;;;;;1;;;;;;;;;;;;;
2078287 CENTRO DE REFERENCIA DA SAUDE DA MULHER SAO PAULO;h159;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;1;1;;;3;;;;1;3;3;1;2;3;1;;3;2;1;1;1;1;3;2;1;1;;;3;2;1;2;1;2;6;2;2;2;;;5;2;2;1;;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;
9472908 PRONTO ATENDIMENTO SANCTA MAGGIORE SANTANA;h160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;1;1;2;1;;1;;1;;1;1;;1;1;3;3;1;6;2;3;2;3;1;3;2;;4;1;3;3;2;2;1;1;2;3;2;1;3;1;;;;;;;;
2069776 HOSPITAL E PRONTO SOCORRO CENTRAL;h161;1;;1;;1;;;;;;;;;;;;;1;1;;;;;;;1;1;2;;;1;1;1;;1;;;3;1;3;2;1;2;;;2;1;1;1;1;;;2;;;;1;;;2;1;;2;2;1;1;1;;;1;4;1;3;2;3;2;1;;1;1;1;1;;;;;1;;1;;1;;1;;;;;;;;;;;;;
3528596 HOSPITAL SANTA HELENA;h162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;1;2;;1;;;;;1;1;1;;;;;;1;2;;;;2;1;2;1;2;3;;;2;;;1;1;3;2;2;;1;;2;1;1;1;3;2;;1;2;1;2;3;2;;;1;;2;2;1;2;;1;;;;;;;;;;;
0008923 CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO;h163;3;;;2;1;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;1;;;;;;;;1;;1;;2;;;;1;;;;;1;2;1;;3;2;1;2;3;2;1;3;1;1;1;2;2;3;1;3;2;1;3;2;2;;;;1;2;;;2;;;;;;;;;;;;;;;;;
2079410 COMPLEXO HOSPITALAR PADRE BENTO DE GUARULHOS;h164;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;;1;;;;1;;1;2;1;2;;;;2;2;2;;1;1;;4;3;;2;;1;;1;;;2;1;2;4;1;1;;1;1;;1;1;2;1;2;2;;;;1;2;1;;;2;1;;;1;;;;;1;;;;;;;;;;;;;;;
0008028 HOSPITAL MUNICIPAL ANTONIO GIGLIO;h165;;1;4;1;;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;1;2;;;;4;;1;;1;;1;1;;;1;1;;3;1;;;1;;2;;3;1;;1;1;2;;1;;1;2;4;;1;1;2;1;;;2;2;;;;1;1;;;1;;;;1;;;;;;;;;;;;;;
2080028 HOSPITAL MUNICIPAL DE DIADEMA HMD;h166;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;3;;2;;;1;1;2;;;;;;;1;1;;3;1;1;1;1;2;1;1;1;1;3;2;1;1;2;1;5;;3;1;;;1;2;1;;;;2;1;1;1;;;;1;;1;;1;1;1;;;;;;;;;;;;;;;;;;
2078007 HOSP GERAL DE SAO PAULO;h167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;1;2;1;;2;;;1;;;;;1;;1;1;2;;3;;2;1;2;1;3;1;2;3;1;1;1;2;2;2;2;2;1;1;1;;1;3;;2;2;1;1;;;;;;;
2084368 INTERMEDICA SISTEMA DE SAUDE;h168;2;2;1;;;2;;;;;;;;;;;;;;1;1;1;1;;;;;;1;1;;;1;;2;1;1;;1;2;2;;;1;;1;;2;1;2;;1;1;2;;;1;1;3;1;;;;;;;;1;1;1;;1;;;2;;;1;;;;1;1;;;2;3;;;;;1;1;;;;1;;;;;;;;;
2080338 HOSPITAL GERAL DE GUARULHOS PROF DR WALDEMAR DE CARVALHO;h169;;;;;1;;1;;;;;;;;;;;;1;;;;;;;1;1;;;;;;1;;;1;;;;;;1;1;1;2;1;1;2;;;;;;1;2;2;3;1;;2;2;1;1;1;;1;;3;;1;1;2;1;1;;1;2;;;1;;1;1;1;1;;2;1;;;1;;1;;;1;;;;;;;;;;
7473702 HOSP MUN DE MOGI DAS CRUZES PREF WALDEMAR COSTA FILHO;h170;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;;;;;;;1;;;2;2;2;1;2;1;;5;;1;;1;1;1;2;1;1;2;;2;1;1;1;;1;;;4;1;;2;;;3;2;;;;;1;;;1;;;1;;;;;;1;2;1;;;;;;;;;;;;;
7429991 UPA DR AKIRA TADA;h171;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;;;2;1;;;2;;;;1;;;1;1;2;3;;1;;1;1;;1;;1;2;2;1;3;;;1;;3;2;;5;;1;1;;;1;1;1;1;1;;2;2;;1;;;;;;;1;;;;1;;;;;;;;;;
2078562 HOSPITAL GERAL DE ITAQUAQUECETUBA;h172;;;;;;;;;;;;;;;;;;;1;;;;1;;;;1;1;;1;;1;1;1;;;1;;;1;;;1;;;2;2;;;2;1;1;1;;;;1;;1;1;3;;3;1;;;1;2;2;2;;3;2;;;1;1;;1;1;2;;;;1;;1;;;;;1;;;;;;;;;;;;;;
5607442 ASSOCIACAO HOSPITAL PERSONAL CUIDADOS ESPECIAIS;h173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;2;;;;;;;1;2;;;2;1;;;3;2;2;;2;;1;3;;3;2;;;1;4;1;;3;1;1;1;1;1;1;2;;1;;2;;;;1;;;;;
2089696 HOSPITAL GRAACC INSTITUTO DE ONCOLOGIA PEDIATRICA IOP;h174;2;1;3;3;1;6;;3;2;3;3;1;;3;5;2;6;;1;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2080079 HOSPITAL DR OSIRIS FLORINDO COELHO FERRAZ DE VASCONCELOS;h175;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;1;2;;1;1;1;;;;;1;;;1;2;;1;1;;1;2;;1;1;2;1;;1;1;1;;2;2;1;1;1;;1;3;2;;;;;;;1;1;;1;;;;1;;;;;;;;;;;;;;;;
2080273 HOSPITAL ESTADUAL MARIO COVAS DE SANTO ANDRE;h176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;1;;;1;;1;2;2;2;;;;1;;3;2;3;3;2;;;2;1;1;2;1;1;3;1;;2;1;1;1;;;;;;1;;1;;1;;;;;;;;;;;;;;;;
7931670 PRONTO ATENDIMENTO SANCTA MAGGIORE JARDIM PAULISTA;h177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;3;;;1;;;;;1;1;;1;;1;2;;1;;2;1;3;3;;1;1;;1;;1;1;2;1;2;1;2;1;;1;2;2;;1;1;1;;;;;
6625649 COMPLEXO HOSPITALAR OITO DE DEZEMBRO UNIDADE I;h178;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;2;;;2;;2;2;2;;1;1;1;;;;2;;1;;;;1;2;2;1;;;1;;;1;2;2;;1;;1;2;2;2;;;;;;;1;2;1;;;;;1;;;;;;;;;;;;;;
6984649 BP HOSPITAL FILANTROPICO;h179;2;;;;;;;;;;;;;;;;;;;;;2;1;;1;;;1;1;2;3;2;2;;1;1;2;4;;;1;;;;;;;;1;;;;;1;;;;;;;1;1;;1;1;;;;;1;1;1;;;;1;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;
2080680 HOSPITAL DAS CLINICAS LUZIA DE PINHO MELO MOGI DAS CRUZES;h180;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;1;1;;;;2;;1;;;;1;1;1;;;;;;1;;2;1;1;;3;2;;1;;;3;;;1;1;2;;;1;1;1;1;1;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;
2040727 PA MUN DR ATUALPA GIRAO RABELO;h181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;2;;;;1;;;;;3;1;1;1;1;;;;1;2;1;1;2;1;1;;1;1;1;;;2;3;2;;1;;;1;1;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;
2089564 HOSP MAT 8 DE MAIO;h182;1;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;;;;2;1;;;;;;1;;;;;1;2;1;2;;;;;3;1;1;2;2;1;;2;;;;;;;;1;;1;1;;2;;;1;1;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;
2080613 HOSPITAL E MATERNIDADE CENTRAL SAO CAETANO DE SUL;h183;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;1;;;;3;;;1;1;;;;;1;1;1;;1;2;;;;1;1;1;1;2;;;;;1;2;;;1;;2;;;1;;3;;2;1;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;
2083248 HOSPITAL NEXT SAO BERNARDO;h184;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;;2;;1;1;1;;;;1;1;1;1;2;;;;1;1;1;;;;1;;1;1;;1;1;;;1;1;;;1;;;;;1;2;;;1;;;2;;;1;2;;;;;1;;;;;;;;;;;;
7030878 UPA RUDGE RAMOS;h185;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;1;1;1;;1;;;;1;;;1;;;1;;;;;1;1;;;1;1;1;1;1;1;;;1;2;;2;1;;;1;1;;;;;3;;1;;2;;;1;;1;;;;;;;;;;;;;;;;
9490604 HOSPITAL SAGRADA FAMILIA;h186;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;1;1;;;;;2;1;3;1;2;;1;;1;;;;;1;1;1;1;1;1;1;2;;;;;;;;1;;;;;2;;;1;;;;1;;;1;;;;1;;;;;;1;;;;;;;1;;;;;;;;;;;;
9095195 PRONTO ATENDIMENTO SANCTA MAGGIORE MORUMBI;h187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;1;;;;;4;;1;1;2;;1;2;;1;;;1;;;2;2;;1;;;;1;;;1;;1;2;1;2;;2;1;;1;;;;;1;;;;
2082594 COMPLEXO HOSPITALAR MUNICIPAL;h188;4;1;;1;;;;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2;1;;;1;;;2;1;;;;;1;1;;;1;;1;;;1;;;1;2;1;;;;1;2;;1;1;1;;;;;1;;;;;;;;;;;;
2078600 HOSP DA AERONAUTICA DE SPHASP;h189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;1;1;;;;1;1;1;;2;;;;;;;;;2;2;;;1;1;1;;;;;1;;;;;;;1;;2;;2;;1;1;;1;;1;;3;;2;1;;1;;;;;;;;
5101654 HOSPITAL SINO BRASILEIRO;h190;;1;1;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;1;;1;;1;1;;3;;;;;;2;;;;1;1;1;;1;1;2;;1;;1;2;1;1;1;1;;1;1;;;1;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
7682581 PS JOSE IBRAHIN;h191;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;2;;2;1;;;1;1;1;;3;1;1;;1;2;1;;1;;;;;1;;;1;;1;;;;;;;;;;1;;;;1;;2;;1;;;1;1;;;;;;;;;;;;;;;;
2065665 HOSPITAL MATERNIDADE INTERLAGOS;h192;5;;;;;;;;;;;;;;;1;;1;1;1;2;1;2;1;1;;2;;2;2;;2;;1;2;;;;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2081741 HOSPITAL SBC;h193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;1;;;;;;;;;;;;;;;;;;;1;;;;;1;;1;1;1;;2;2;;3;2;;;1;1;;2;1;1;1;;1;;2;1;;1;;;1;;;;;;;;;
2078155 HOSPITAL STELLA MARIS;h194;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;;;;;1;1;;;1;2;;;;;;2;;2;1;2;1;1;;4;;;;;;;;;;1;;;;1;;;;1;3;;;;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;
0105856 HOSPITAL DE CAMPANHA COVID 19 SER - TABOAO DA SERRA - SP;h195;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;1;;;;;;1;;;1;1;;1;2;;;;1;;1;1;1;;1;;;1;;1;1;;;1;2;2;;1;;1;;;;1;;2;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
2071371 HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO;h196;15;2;2;1;4;;1;;;;1;2;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7435568 HOSPITAL SANCTA MAGGIORE SAO BERNARDO;h197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;1;;2;;1;;1;1;2;;;1;3;;;;2;1;1;2;1;;3;;;;1;;;;;;;;;;;;
